학번	이름	PW	주민등록번호	연락처
10101	고유경	student01	010301-4******	010-4834-7516
10102	권진경	student02	010502-3******	010-7487-4531
10103	김미경	student03	010509-4******	010-9621-2489
10104	김수진	student04	011001-4******	010-8317-8135
10105	김영애	student05	011122-4******	010-9974-0465
10106	김은남	student06	010710-3******	010-6574-7460
10107	김은지	student07	010419-4******	010-4678-5131
10108	김정화	student08	010625-4******	010-3967-5489
10109	김지연	student09	010622-4******	010-2168-3540
10110	김진성	student10	011229-3******	010-3216-6870
10201	김진희	student11	011028-4******	010-7893-4212
10202	김효은	student12	010221-4******	010-9547-6640
10203	문혜경	student13	010921-4******	010-4893-1237
10204	박영륜	student14	010715-3******	010-3579-6154
10205	박진영	student15	010509-3******	010-6873-1237
10206	박혜경	student16	010601-4******	010-3578-6934
10207	배운희	student17	010505-4******	010-9687-3456
10208	송보람	student18	010605-4******	010-5897-0189
10209	송화수	student19	010802-4******	010-3567-2049
10210	신은혜	student20	010702-4******	010-9327-7831
20101	윤인선	student21	000224-4******	010-6785-1625
20102	이인선	student22	000331-4******	010-3698-4912
20103	이정애	student23	000525-4******	010-9531-4568
20104	이지혜	student24	000616-4******	010-7195-3452
20105	이진주	student25	000414-4******	010-2216-3348
20106	이화경	student26	000319-4******	010-1502-9153
20107	임영주	student27	000518-4******	010-0152-3513
20108	김선미	student28	000618-4******	010-4512-3752
20109	이중남	student29	000114-3******	010-1111-2222
20110	박범신	student30	000115-3******	010-3751-5591
20201	한상민	student31	001011-3******	010-9534-1186
20202	민수진	student32	001103-4******	010-9135-7325
20203	민윤지	student33	001222-4******	010-2594-3489
20204	윤성식	student34	000505-3******	010-3795-9562
20205	성나현	student35	000517-4******	010-4958-7315
20206	현철민	student36	001106-3******	010-2344-9266
20207	박신경	student37	001219-3******	010-5971-3611
20208	서민수	student38	001201-3******	010-4926-3488
20209	현진아	student39	000305-4******	010-3915-7569
20210	이대한	student40	000806-3******	010-9561-8555
30101	박숙자	student41	990111-2******	010-8851-9135
30102	백장미	student42	990405-2******	010-4861-1556
30103	한송이	student43	990104-2******	010-3159-2982
30104	이진주	student44	990605-2******	010-3218-3548
30105	김선미	student45	991015-2******	010-3921-7525
30106	조선재	student46	990415-1******	010-7531-3591
30107	신아라	student47	990516-2******	010-1545-6813
30108	박동수	student48	990816-1******	010-9567-2541
30109	김미연	student49	990105-2******	010-2841-3694
30110	이정은	student50	990607-2******	010-8215-3156
30201	김현숙	student51	990703-2******	010-7523-3953
30202	조영호	student52	990424-1******	010-1953-1853
30203	이현아	student53	991221-2******	010-6485-5951
30204	현진영	student54	990604-1******	010-5195-6851
30205	김선명	student55	990825-1******	010-3485-1595
30206	박준형	student56	991103-1******	010-8531-1358
30207	송세진	student57	990409-1******	010-9951-4853
30208	이재훈	student58	990702-1******	010-1595-2215
30209	이하영	student59	991124-2******	010-1589-2665
30210	정채연	student60	991205-2******	010-3450-1156
