u_no	u_name	u_id	u_pw	u_birth	division	t_no
1	감유나	user001	8157	1985-11-10	1	54
2	구교환	user003	2194	1991-03-14	1	2
3	이승기	user004	8614	1982-11-14	1	80
4	강호동	user005	6364	1974-03-23	1	2
5	이수근	user006	3824	1994-12-06	1	66
6	서장훈	user008	3235	1983-06-04	1	49
7	김영철	user009	7495	1987-02-23	1	36
8	최연준	user010	3883	1997-06-05	1	57
9	김채연	user013	1238	1977-11-23	1	92
10	강태현	user014	9324	1973-03-01	1	11
11	최승철	user015	8673	1974-06-18	1	30
12	이제노	user022	2974	1995-05-05	1	10
13	나재민	user024	7671	1998-05-21	1	15
14	김정우	user026	8371	1989-11-19	1	65
15	권순영	user029	7368	1988-08-12	1	56
16	이지훈	user031	5973	1998-07-13	1	34
17	이도겸	user032	1876	1973-11-02	1	86
18	이석민	user033	7874	1988-01-07	1	62
19	부승관	user034	7292	1998-06-07	1	50
20	이규형	user035	8582	1996-03-18	1	22
21	장원영	user036	4738	1980-12-03	1	13
22	김유진	user038	2861	1986-08-04	1	41
23	윤다희	user039	7375	1998-03-13	1	92
24	박민서	user041	6359	1996-03-16	1	51
25	김지연	user042	8521	1996-05-27	1	39
26	김민우	user043	5953	1998-08-11	1	89
27	김지원	user044	9841	1981-08-16	1	92
28	김서은	user045	3852	1987-01-24	1	50
29	김예린	user047	7236	1995-08-06	1	73
30	변요한	user049	7323	1992-07-05	1	39
31	정호석	user051	7742	1986-02-11	1	65
32	민윤기	user052	5659	1978-11-04	1	44
33	김태형	user053	8946	1983-02-16	1	88
34	김성민	user057	2459	1991-11-10	1	20
35	김시후	user061	3788	1995-12-27	1	86
36	김예원	user064	8657	1978-12-27	1	96
37	나미애	user066	3789	1996-03-01	1	24
38	나서라	user067	3498	1982-07-21	1	54
39	김나연	user068	3514	1990-01-25	1	85
40	나영희	user069	3483	1996-06-01	1	58
41	나윤권	user070	4999	1973-02-19	1	50
42	남경	user072	5731	1995-12-03	1	22
43	남궁원	user073	9898	1994-05-26	1	93
44	남규리	user074	7871	1988-07-28	1	64
45	딘딘	user075	5524	1980-07-29	1	50
46	래원	user077	1839	1982-03-22	1	11
47	레이나	user078	6182	1977-05-02	1	14
48	권혁우	user080	5669	1990-02-03	1	15
49	로봉순	user081	4256	1988-12-13	1	1
50	김준면	user082	8169	1995-08-06	1	12
51	마동석	user084	6592	1994-05-30	1	9
52	문지후	user086	1537	1983-07-11	1	63
53	문채령	user087	2519	1970-09-27	1	59
54	조미연	user088	7529	1981-04-02	1	33
55	이용운	user089	7143	1988-04-30	1	50
